Yearmon,CPI
01-10-2018,252.885
01-11-2018,252.038
01-12-2018,251.233
01-01-2019,251.712
01-02-2019,252.776
01-03-2019,254.202
01-04-2019,255.548
01-05-2019,256.092
01-06-2019,256.143
01-07-2019,256.571
01-08-2019,256.558
01-09-2019,256.759
01-10-2019,257.346
01-11-2019,257.208
01-12-2019,256.974
01-01-2020,257.971
01-02-2020,258.678
01-03-2020,258.115
01-04-2020,256.389
01-05-2020,256.394
01-06-2020,257.797
01-07-2020,259.101
01-08-2020,259.918
01-09-2020,260.28
01-10-2020,260.388
01-11-2020,260.229
01-12-2020,260.474
01-01-2021,261.582
01-02-2021,263.014
01-03-2021,264.877
01-04-2021,267.054
01-05-2021,269.195
01-06-2021,271.696
01-07-2021,273.003
01-01-2022,275.097
01-02-2022,276.670
01-03-2022,277.856
01-04-2022,278.389
01-05-2022,279.345
01-06-2022,279.696
01-07-2022,280.003
01-01-2023,283.002
01-02-2023,286.893
01-03-2023,287.675
01-04-2023,289.896
01-05-2023,290.125
01-06-2023,292.634
01-07-2023,295.672
